AVA MO 100                    ,909 NW 12TH STREET            ,AVA                 ,MO,65608-9679,36.958654,-92.6744
FORT SMITH AR 101             ,1214 HIGHWAY 71 S             ,FORT SMITH          ,AR,72901-8452,35.4367,-94.34684082
COLUMBIA MO 102               ,2206 PARIS ROAD               ,COLUMBIA            ,MO,65202-2303,38.977,-92.2985
LEE'S SUMMIT MO 103           ,302 SW WARD RD                ,LEE'S SUMMIT        ,MO,64081-2445,38.9104105,-94.3962721
FORT SMITH AR 104             ,2808 GRAND AVE                ,FORT SMITH          ,AR,72901-3108,35.3858,-94.40162653
MOBERLY MO 105                ,1306 NORTH MORLEY             ,MOBERLY             ,MO,65270-3637,39.3751,-92.4374
WEST PLAINS MO 106            ,1504 PORTER WAGONER BLVD      ,WEST PLAINS         ,MO,65775-1832,36.7426515,-91.87212575
COLUMBIA MO 108               ,1900 WEST WORLEY              ,COLUMBIA            ,MO,65203-1040,38.96050191,-92.36692908
RAYTOWN MO 109                ,7403 RAYTOWN RD               ,RAYTOWN             ,MO,64133-6603,38.9886202,-94.4638344
HOUSTON MO 111                ,1004 S SAM HOUSTON BLVD       ,HOUSTON             ,MO,65483-2038,37.32792285,-91.95057715
INDEPENDENCE MO 112           ,1704 EAST 24 HIGHWAY          ,INDEPENDENCE        ,MO,64050-2265,39.1377,-94.1881
BUCKNER MO 113                ,120 EAST MONROE               ,BUCKNER             ,MO,64016-7801,39.1381,-94.2
SEDALIA MO 114                ,2414 WEST BROADWAY            ,SEDALIA             ,MO,65301-2538,38.9017,-93.3592
BLUE SPRINGS MO 115           ,1413 NORTH 7 HIGHWAY          ,BLUE SPRINGS        ,MO,64014-2286,39.0068,-94.2551
BELTON MO 116                 ,601 EAST NORTH AVENUE         ,BELTON              ,MO,64012-2190,38.81442328,-94.52940951
CASSVILLE MO 117              ,70 MAIN STREET                ,CASSVILLE           ,MO,65625-9400,36.67281818,-93.87472727
JOPLIN MO 118                 ,1430 WEST 7TH STREET          ,JOPLIN              ,MO,64801-3045,37.0845,-94.5286
GRANDVIEW MO 119              ,5200 HARRY S TRUMAN DR        ,GRANDVIEW           ,MO,64030-6706,38.8990038,-94.5319436
INDEPENDENCE MO 120           ,12517 EAST US 40 HIGHWAY      ,INDEPENDENCE        ,MO,64055-6025,39.0409122,-94.4324022
INDEPENDENCE MO 121           ,11218 EAST 24 HIGHWAY         ,SUGAR CREEK         ,MO,64054-1514,39.1377,-94.1881
KANSAS CITY KS 122            ,4700 PARALLEL PKWY            ,KANSAS CITY         ,KS,66104-3240,39.1285,-94.688
INDEPENDENCE MO 123           ,1101 EAST 23RD STREET         ,INDEPENDENCE        ,MO,64055-1615,39.0861309,-94.5753349
OVERLAND PARK KS 124          ,6725 75TH STREET              ,OVERLAND PARK       ,KS,66204-3021,38.9929,-94.66384724
BUTLER MO 125                 ,104 SOUTH ORANGE STREET       ,BUTLER              ,MO,64730-1808,38.25634021,-94.3434
MOUNTAIN GROVE MO 126         ,1701 N MAIN ST                ,MOUNTAIN GROVE      ,MO,65711-1059,37.1431125,-92.2632
CABOOL MO 127                 ,343 OZARK AVENUE              ,CABOOL              ,MO,65689-0501,37.12365312,-92.09680818
POTEAU OK 128                 ,2200 NORTH BROADWAY           ,POTEAU              ,OK,74953-2000,35.0456,-94.6329
STIGLER OK 129                ,1400 EAST MAIN STREET         ,STIGLER             ,OK,74462-2802,35.2557,-95.1081
NEOSHO MO 130                 ,1088 SOUTH NEOSHO BLVD        ,NEOSHO              ,MO,64850-2007,36.8564,-94.3839
OLATHE KS 131                 ,913 EAST SANTE FE             ,OLATHE              ,KS,66061-3759,38.8938,-94.88
FORT SMITH AR 132             ,9601 ROGERS AVE               ,FORT SMITH          ,AR,72903-5770,35.34345577,-94.32596732
SHAWNEE KS 133                ,6136 NIEMAN ROAD              ,SHAWNEE             ,KS,66203-2940,39.0172091,-94.7150789
BLUE SPRINGS MO 134           ,1415 SOUTH 7 HIGHWAY          ,BLUE SPRINGS        ,MO,64014-3543,39.0068,-94.2551
SPRINGFIELD MO 135            ,1425 N KANSAS EXPRESSWAY      ,SPRINGFIELD         ,MO,65802-1559,37.2247351,-93.3122064
CHANUTE KS 136                ,1602 SOUTH SANTA FE AVE       ,CHANUTE             ,KS,66720-3223,37.66468163,-95.4524
PARSONS KS 137                ,2113 MAIN STREET              ,PARSONS             ,KS,67357-2719,37.3407,-95.26800638
PITTSBURG KS 138              ,1402 NORTH BROADWAY           ,PITTSBURG           ,KS,66762-3018,37.82542676,-94.69448641
KANSAS CITY MO 139            ,6227 TROOST AVENUE            ,KANSAS CITY         ,MO,64110-3437,39.014479,-94.5741501
LAWRENCE KS 140               ,307 WEST 23RD STREET          ,LAWRENCE            ,KS,66046-4705,38.9423251,-95.2390623
GLADSTONE MO 141              ,7708 N OAK TRFY               ,GLADSTONE           ,MO,64118-1711,39.2344,-94.5763
LIBERTY MO 142                ,625 SOUTH M-291 HIGHWAY       ,LIBERTY             ,MO,64068-1916,39.2583,-94.3897
KANSAS CITY MO 143            ,1724 NE PARVIN ROAD           ,KANSAS CITY         ,MO,64116-2357,39.1666,-94.55955309
COFFEYVILLE KS 144            ,611 WEST 11TH STREET          ,COFFEYVILLE         ,KS,67337-5025,37.033,-95.6247957
BRANSON WEST MO 145           ,18272 STATE HIGHWAY 13        ,BRANSON WEST        ,MO,65737-9661,36.70114054,-93.36967568
LEAVENWORTH KS 146            ,1824 SOUTH FOURTH STREET      ,LEAVENWORTH         ,KS,66048-3933,39.077,-95.3928
KNOB NOSTER MO 147            ,401-A NORTH STATE STREET      ,KNOB NOSTER         ,MO,65336-1163,38.7677,-93.5564
OTTAWA KS 148                 ,1545 SOUTH MAIN               ,OTTAWA              ,KS,66067-3802,38.6356,-95.2677
BARTLESVILLE OK 149           ,1415 SW FRANK PHILLIPS BL     ,BARTLESVILLE        ,OK,74003-3210,36.7283,-96.0676
KANSAS CITY MO 150            ,601 EAST LINWOOD BLVD         ,KANSAS CITY         ,MO,64109-1719,39.0685529,-94.5774691
BOONVILLE MO 151              ,112 WEST ASHLEY ROAD          ,BOONVILLE           ,MO,65233-1172,38.96711754,-92.74763208
TOPEKA KS 152                 ,1701 SOUTH KANSAS AVENUE      ,TOPEKA              ,KS,66612-1433,39.0365104,-95.6794921
SAPULPA OK 153                ,419 SOUTH MAIN                ,SAPULPA             ,OK,74066-4111,35.9652,-96.1139
INDEPENDENCE KS 154           ,224 WEST MAIN                 ,INDEPENDENCE        ,KS,67301-3513,37.01332041,-95.9351
TULSA OK 155                  ,6707 EAST ADMIRAL PLACE       ,TULSA               ,OK,74115-8705,36.1609,-95.90238462
BROKEN ARROW OK 156           ,501 SOUTH ELM PLACE           ,BROKEN ARROW        ,OK,74012-5326,36.0486,-95.7975
TULSA OK 157                  ,1116 SOUTH GARNETT            ,TULSA               ,OK,74128-1822,36.0211,-95.8513
SALLISAW OK 158               ,812 EAST CHEROKEE             ,SALLISAW            ,OK,74955-4848,35.5812,-94.8139
WAGONER OK 159                ,510 WEST CHEROKEE             ,WAGONER             ,OK,74467-4610,35.9593,-95.37207755
PRYOR OK 160                  ,301 SOUTH MILL STREET         ,PRYOR               ,OK,74361-5217,36.30235149,-95.32030597
TULSA OK 161                  ,4621 SOUTH PEORIA AVENUE      ,TULSA               ,OK,74105-4527,36.09691818,-95.9757
TULSA OK 162                  ,7694 EAST 46TH STREET         ,TULSA               ,OK,74145-6304,36.0976,-95.89088072
