Store Name,Address Line 2,City,State,Zipcode
AVA MO 100                    ,909 NW 12TH STREET            ,AVA                 ,MO,65608-9679
FORT SMITH AR 101             ,1214 HIGHWAY 71 S             ,FORT SMITH          ,AR,72901-8452
COLUMBIA MO 102               ,2206 PARIS ROAD               ,COLUMBIA            ,MO,65202-2303
LEE'S SUMMIT MO 103           ,302 SW WARD RD                ,LEE'S SUMMIT        ,MO,64081-2445
FORT SMITH AR 104             ,2808 GRAND AVE                ,FORT SMITH          ,AR,72901-3108
MOBERLY MO 105                ,1306 NORTH MORLEY             ,MOBERLY             ,MO,65270-3637
WEST PLAINS MO 106            ,1504 PORTER WAGONER BLVD      ,WEST PLAINS         ,MO,65775-1832
COLUMBIA MO 108               ,1900 WEST WORLEY              ,COLUMBIA            ,MO,65203-1040
RAYTOWN MO 109                ,7403 RAYTOWN RD               ,RAYTOWN             ,MO,64133-6603
HOUSTON MO 111                ,1004 S SAM HOUSTON BLVD       ,HOUSTON             ,MO,65483-2038
INDEPENDENCE MO 112           ,1704 EAST 24 HIGHWAY          ,INDEPENDENCE        ,MO,64050-2265
BUCKNER MO 113                ,120 EAST MONROE               ,BUCKNER             ,MO,64016-7801
SEDALIA MO 114                ,2414 WEST BROADWAY            ,SEDALIA             ,MO,65301-2538
BLUE SPRINGS MO 115           ,1413 NORTH 7 HIGHWAY          ,BLUE SPRINGS        ,MO,64014-2286
BELTON MO 116                 ,601 EAST NORTH AVENUE         ,BELTON              ,MO,64012-2190
CASSVILLE MO 117              ,70 MAIN STREET                ,CASSVILLE           ,MO,65625-9400
JOPLIN MO 118                 ,1430 WEST 7TH STREET          ,JOPLIN              ,MO,64801-3045
GRANDVIEW MO 119              ,5200 HARRY S TRUMAN DR        ,GRANDVIEW           ,MO,64030-6706
INDEPENDENCE MO 120           ,12517 EAST US 40 HIGHWAY      ,INDEPENDENCE        ,MO,64055-6025
INDEPENDENCE MO 121           ,11218 EAST 24 HIGHWAY         ,SUGAR CREEK         ,MO,64054-1514
KANSAS CITY KS 122            ,4700 PARALLEL PKWY            ,KANSAS CITY         ,KS,66104-3240
INDEPENDENCE MO 123           ,1101 EAST 23RD STREET         ,INDEPENDENCE        ,MO,64055-1615
OVERLAND PARK KS 124          ,6725 75TH STREET              ,OVERLAND PARK       ,KS,66204-3021
BUTLER MO 125                 ,104 SOUTH ORANGE STREET       ,BUTLER              ,MO,64730-1808
MOUNTAIN GROVE MO 126         ,1701 N MAIN ST                ,MOUNTAIN GROVE      ,MO,65711-1059
CABOOL MO 127                 ,343 OZARK AVENUE              ,CABOOL              ,MO,65689-0501
POTEAU OK 128                 ,2200 NORTH BROADWAY           ,POTEAU              ,OK,74953-2000
STIGLER OK 129                ,1400 EAST MAIN STREET         ,STIGLER             ,OK,74462-2802
NEOSHO MO 130                 ,1088 SOUTH NEOSHO BLVD        ,NEOSHO              ,MO,64850-2007
OLATHE KS 131                 ,913 EAST SANTE FE             ,OLATHE              ,KS,66061-3759
FORT SMITH AR 132             ,9601 ROGERS AVE               ,FORT SMITH          ,AR,72903-5770
SHAWNEE KS 133                ,6136 NIEMAN ROAD              ,SHAWNEE             ,KS,66203-2940
BLUE SPRINGS MO 134           ,1415 SOUTH 7 HIGHWAY          ,BLUE SPRINGS        ,MO,64014-3543
SPRINGFIELD MO 135            ,1425 N KANSAS EXPRESSWAY      ,SPRINGFIELD         ,MO,65802-1559
CHANUTE KS 136                ,1602 SOUTH SANTA FE AVE       ,CHANUTE             ,KS,66720-3223
PARSONS KS 137                ,2113 MAIN STREET              ,PARSONS             ,KS,67357-2719
PITTSBURG KS 138              ,1402 NORTH BROADWAY           ,PITTSBURG           ,KS,66762-3018
KANSAS CITY MO 139            ,6227 TROOST AVENUE            ,KANSAS CITY         ,MO,64110-3437
LAWRENCE KS 140               ,307 WEST 23RD STREET          ,LAWRENCE            ,KS,66046-4705
GLADSTONE MO 141              ,7708 N OAK TRFY               ,GLADSTONE           ,MO,64118-1711
LIBERTY MO 142                ,625 SOUTH M-291 HIGHWAY       ,LIBERTY             ,MO,64068-1916
KANSAS CITY MO 143            ,1724 NE PARVIN ROAD           ,KANSAS CITY         ,MO,64116-2357
COFFEYVILLE KS 144            ,611 WEST 11TH STREET          ,COFFEYVILLE         ,KS,67337-5025
BRANSON WEST MO 145           ,18272 STATE HIGHWAY 13        ,BRANSON WEST        ,MO,65737-9661
LEAVENWORTH KS 146            ,1824 SOUTH FOURTH STREET      ,LEAVENWORTH         ,KS,66048-3933
KNOB NOSTER MO 147            ,401-A NORTH STATE STREET      ,KNOB NOSTER         ,MO,65336-1163
OTTAWA KS 148                 ,1545 SOUTH MAIN               ,OTTAWA              ,KS,66067-3802
BARTLESVILLE OK 149           ,1415 SW FRANK PHILLIPS BL     ,BARTLESVILLE        ,OK,74003-3210
KANSAS CITY MO 150            ,601 EAST LINWOOD BLVD         ,KANSAS CITY         ,MO,64109-1719
BOONVILLE MO 151              ,112 WEST ASHLEY ROAD          ,BOONVILLE           ,MO,65233-1172
TOPEKA KS 152                 ,1701 SOUTH KANSAS AVENUE      ,TOPEKA              ,KS,66612-1433
SAPULPA OK 153                ,419 SOUTH MAIN                ,SAPULPA             ,OK,74066-4111
INDEPENDENCE KS 154           ,224 WEST MAIN                 ,INDEPENDENCE        ,KS,67301-3513
TULSA OK 155                  ,6707 EAST ADMIRAL PLACE       ,TULSA               ,OK,74115-8705
BROKEN ARROW OK 156           ,501 SOUTH ELM PLACE           ,BROKEN ARROW        ,OK,74012-5326
TULSA OK 157                  ,1116 SOUTH GARNETT            ,TULSA               ,OK,74128-1822
SALLISAW OK 158               ,812 EAST CHEROKEE             ,SALLISAW            ,OK,74955-4848
WAGONER OK 159                ,510 WEST CHEROKEE             ,WAGONER             ,OK,74467-4610
PRYOR OK 160                  ,301 SOUTH MILL STREET         ,PRYOR               ,OK,74361-5217
TULSA OK 161                  ,4621 SOUTH PEORIA AVENUE      ,TULSA               ,OK,74105-4527
