JACKSONVILLE AR,2000 JOHN HARDEN DR,JACKSONVILLE,AR,72076,34.88481587381645,-92.10967478604614
JEFFERSON CITY MO,724 STADIUM WEST BLV,JEFFERSON CITY,MO,65109,38.5739,-92.2778
ROLLA MO,500 S BISHOP AVE,ROLLA,MO,65401,37.939797999999996,-91.7773
CORINTH MS,2301 S HARPER RD,CORINTH,MS,38834,34.9086,-88.53516666666667
ROCKLEDGE FL,2700 CLEARLAKE RD,COCOA,FL,32922,28.3962743,-80.7543827
"LAWTON, OK",1002 NW SHERIDAN RD,LAWTON,OK,73505,34.6190697,-98.4242708
"RAYMORE,MO",2015 W FOXWOOD DR,RAYMORE,MO,64083,38.8128,-94.49307878787879
TEXAS CITY TX,6410 INTERSTATE 45,LA MARQUE,TX,77568,29.5200204,-95.1272555
WOODSTOCK GA,12182 HIGHWAY 92,WOODSTOCK,GA,30188,34.08775239342268,-84.48397632764954
PEKIN IL,3320 VETERANS DR,PEKIN,IL,61554,40.5416,-89.5952
SOMERSET KY,177 WASHINGTON DR,SOMERSET,KY,42501,37.0669,-84.62
BARDSTOWN KY,3795 E JOHN ROWAN BLVD,BARDSTOWN,KY,40004,37.8211,-85.4438
TEMPLE TX,3401 S 31ST ST,TEMPLE,TX,76502,31.066741,-97.3673797
SAND SPRINGS OK,220 S HIGHWAY 97,SAND SPRINGS,OK,74063,36.1824,-96.098
ANKENY IA,1002 SE NATIONAL DR,ANKENY,IA,50021,41.7052535,-93.585005
"TULSA,OK",6625 S MEMORIAL DR,TULSA,OK,74133,36.06755496757533,-95.88618810516033
PLATTEVILLE WI,1800 PROGRESSIVE PKWY,PLATTEVILLE,WI,53818,42.7374,-90.4371
"PUEBLO, CO",4080 W NORTHERN AVE,PUEBLO,CO,81005,38.2292,-104.6726
KIMBALL /JASPER TN,525 KIMBALL CROSSING DR,KIMBALL,TN,37347,35.0419,-85.6853
MILLEDGEVILLE GA,2592 N COLUMBIA ST,MILLEDGEVILLE,GA,31061,33.112001552427216,-83.25795912931368
BOERNE TX,1381 S MAIN ST,BOERNE,TX,78006,29.7776976,-98.7262468
LAKE CHARLES (W) LA,3451 NELSON RD,LAKE CHARLES,LA,70605,30.1934,-93.2494
TERRE HAUTE (S) IN,5555 S US HWY #41,TERRE HAUTE,IN,47802,39.351,-87.4119
ST JOHNS MI,1165 SUPERIOR DR,SAINT JOHNS,MI,48879,42.9772,-84.5388
"MASON, OH",5303 BOWEN DRIVE,MASON,OH,45040,39.313,-84.3158
JACKSONVILLE FL,9890 HUTCHINSON PARK DR,JACKSONVILLE,FL,32225,30.3418215,-81.5460388
CLARKSVILLE IN,1351 VETERANS PKWY,CLARKSVILLE,IN,47129,38.3285,-85.736
CENTERVILLE/DAY(SE) OH,6244 WILMINGTON PIKE,DAYTON,OH,45459,39.6475313,-84.1081629
ELKINS WV,721 BEVERLY PIKE,ELKINS,WV,26241,38.9166,-79.8445
YORK PA,2801 E MARKET ST BLDG B,YORK,PA,17402,40.0569554,-76.5529193
GLENDALE(PHOENIX) AZ,5845 W BELL RD,GLENDALE,AZ,85308,33.6367239,-112.1851799
MAYSVILLE KY,240 WAL MART WAY,MAYSVILLE,KY,41056,38.5949,-83.7781
PRICE UT,255 S HIGHWAY 55,PRICE,UT,84501,39.60076312121238,-110.81544393795097
"TIFFIN, OH",2801 W STATE ROUTE 18,TIFFIN,OH,44883,41.16572663092461,-82.98011034394338
ST CLOUD MN,21 COUNTY ROAD 120,SARTELL,MN,56377,45.646,-94.2478
SENECA FALLS NY,1860 N ROAD,WATERLOO,NY,13165,42.91012688024865,-76.84424784136756
DOVER DE,36 JEROME DRIVE,DOVER,DE,19901,39.2164285,-75.5706132
MARION OH,1546 MARION-MT. GILEAD ROAD,MARION,OH,43302,40.5992,-83.1303
"SCARBOROUGH, ME",500 GALLERY BLVD,SCARBOROUGH,ME,04074,43.6240036,-70.3437025
WEST BERLIN NJ,265 N ROUTE 73,WEST BERLIN,NJ,08091,39.703864154525185,-74.89639208647179
MANASSAS VA,8386 SUDLEY RD,MANASSAS,VA,20109,38.7714206,-77.5069989
"LEESBURG, VA",950 EDWARDS FERRY RD NE,LEESBURG,VA,20176,39.1171367,-77.5405242
"LAPEER, MI",555 E GENESEE ST,LAPEER,MI,48446,43.03419591836735,-83.5194
"NILES, MI",2107 S 11TH ST,NILES,MI,49120,41.78993781636874,-86.2502
"LEBANON, PA",1355 E LEHMAN ST,LEBANON,PA,17046,40.349489736659606,-76.38726324555321
"MILFORD, PA",220 ROUTE 6 & 209,MILFORD,PA,18337,41.329,-74.8717
"BEND, OR",20120 PINEBROOK BLVD,BEND,OR,97702,44.0214,-121.3162
"MARQUETTE, MI",3225 US HIGHWAY 41 W,MARQUETTE,MI,49855,46.50785673392571,-87.36865637611072
"KENNEWICK, WA",2720 S QUILLAN ST,KENNEWICK,WA,99337,46.1829,-119.174
"BIRMINGHAM (SE), AL",5335 HIGHWAY 280,BIRMINGHAM,AL,35242,33.4215877,-86.6758373
"NORWICH, NY",5396 STATE HIGHWAY 12,NORWICH,NY,13815,42.5194,-75.5228
"TEXARKANA, TX",4000 NEW BOSTON RD,TEXARKANA,TX,75501,33.4435,-94.1002
"LAKEWOOD, CO",7455 W COLFAX AVE,LAKEWOOD,CO,80214,39.7422467,-105.0792539
"MISSOULA, MT",4000 HWY 93 SOUTH,MISSOULA,MT,59804,46.8319926,-114.0473229
"ANAHEIM, CA",440 N EUCLID ST,ANAHEIM,CA,92801,33.8363697,-117.9383324
"POTTSTOWN, PA",233 SHOEMAKER RD,POTTSTOWN,PA,19464,40.3769233,-75.7230795
"NORTH CANTON, OH",4572 MEGA ST NW,NORTH CANTON,OH,44720,40.8713429,-81.4334193
"WALLINGFORD, CT",844 N COLONY RD,WALLINGFORD,CT,06492,41.4770105,-72.8106441
"IRON MOUNTAIN, MI",1920 SO. STEPEHENSON AVE,IRON MOUNTAIN,MI,49801,45.961,-87.9766
"WINSTON-SALEM, NC",4550 KESTER MILL RD,WINSTON SALEM,NC,27103,36.0694,-80.33868297872341
"SPOKANE, WA",9212 N COLTON ST,SPOKANE,WA,99218,47.7415005,-117.403293
"NEW CASTLE, DE",117 WILTON BLVD,NEW CASTLE,DE,19720,39.657,-75.62912928932188
"CHEEKTOWAGA, NY",2500 WALDEN AVE,CHEEKTOWAGA,NY,14225,42.9087565,-78.7430164
"NORTH VERSAILLES,PA",100 WALMART DR,NORTH VERSAILLES,PA,15137,40.3868865,-79.8242939
"LEWIS CENTER, OH",8659 COLUMBUS PIKE,LEWIS CENTER,OH,43035,40.165137,-83.015851
"ALTOONA, IA",3501 8TH ST SW,ALTOONA,IA,50009,41.6441,-93.4905
"LISBON, CT",180 RIVER RD,LISBON,CT,06351,41.58190993512726,-71.99780750680159
"GLENVILLE, NY",200 DUTCH MEADOWS LN,GLENVILLE,NY,12302,42.8395,-73.9456
"NEWINGTON, CT",3164 BERLIN TPKE,NEWINGTON,CT,06111,41.6630082,-72.7183969
"ELK RIVER, MN",18185 ZANE ST NW,ELK RIVER,MN,55330,45.3001814,-93.5498419
"GARLAND (SE), TX",555 W INTERSTATE 30,GARLAND,TX,75043,32.8574,-96.5758
EUGENE (W) OR,4550 W 11TH AVE,EUGENE,OR,97402,44.0459574,-123.1693362
N RICHLAND HILLS TX,9101 N TARRANT PKWY,NORTH RICHLAND HILLS,TX,76182,32.8991341,-97.3229829
LINCOLN NE 11-11-02,8700 ANDERMATT DR,LINCOLN,NE,68526,40.73566,-96.5994035
"LOUISVILLE (SE), KY",7101 CEDAR SPRINGS BLVD,LOUISVILLE,KY,40291,38.1427298,-85.587215
"PEWAUKEE, WI",411 PEWAUKEE RD,PEWAUKEE,WI,53072,43.0878301,-88.2282024
"AMELIA, OH",1815 E OHIO PIKE,AMELIA,OH,45102,39.0180189159752,-84.19792207185233
LEICESTER MA,20 SOOJIAN DR,LEICESTER,MA,01524,42.2496,-71.9192
"DEPTFORD (E), NJ",2000 CLEMENTS BRIDGE RD STE 10,DEPTFORD,NJ,08096,39.8372,-75.091
"GREENWOOD, IN",1133 NO. EMERSON ROAD,GREENWOOD,IN,46143,39.5959,-86.1163
"AURORA(DENVER SE),CO",9400 E HAMPDEN AVE,DENVER,CO,80231,39.6522227,-104.8790489
COLORADO SPRINGS CO,1575 SPACE CENTER DR,COLORADO SPRINGS,CO,80915,38.84620965391621,-104.7227
"CINCINNATI (EVENDALE),OH",2801 CUNNINGHAM RD,CINCINNATI,OH,45241,39.1987,-84.2954
"QUEEN CREEK, AZ",1725 W HUNT HWY,SAN TAN VALLEY,AZ,85143,33.176457,-111.5845363
"DAYTON (N), OH",3465 YORK COMMONS BLVD,DAYTON,OH,45414,39.8459333,-84.1964614
"ROCKTON, IL",4781 E ROCKTON RD,ROSCOE,IL,61073,42.4571612,-89.0342812
"HOUSTON (FRY ROAD), TX",6060 N FRY RD,KATY,TX,77449,29.8605375,-95.7171528
NO. MYRTLE BEACH SC,550 HIGHWAY 17 N,NORTH MYRTLE BEACH,SC,29582,33.7753369,-78.7982227
"PHILADELPHIA-BU-, PA",9745 ROOSEVELT BLVD STE A,PHILADELPHIA,PA,19114,40.08213529411764,-75.02705441176471
"COMMACK, NY",85 CROOKED HILL RD,COMMACK,NY,11725,40.8138529,-73.289567
"ROANOKE, TX",1228 NORTH HIGHWAY 377,ROANOKE,TX,76262,33.01088612853332,-97.22225276533334
"PALATINE, IL",1555 N RAND RD,PALATINE,IL,60074,42.1377359,-88.0178906
ORLANDO FL,550 US HIGHWAY 27,CLERMONT,FL,34714,28.3555079,-81.6732887
CLOVIS (N) CA,1185 HERNDON AVE,CLOVIS,CA,93611,36.8397084,-119.6956814
CHERRY HILL NJ,500 ROUTE 38,CHERRY HILL,NJ,08002,39.9407,-75.0092
HANOVER (S) PA,1881 BALTIMORE PIKE,HANOVER,PA,17331,39.761267438807266,-76.95895028151973
ROUND ROCK (NE) TX,4700 E PALM VALLEY BLVD,ROUND ROCK,TX,78665,30.5337189,-97.6120072
"JOHNSON CITY, NY",2 GANNETT DR,JOHNSON CITY,NY,13790,42.1654,-76.0019
"MERIDIAN, ID",5001 N. TEN MILE RD.,MERIDIAN,ID,83646,43.6502145,-116.4348932
BLAINE MN,11505 ULYSSES ST NE,BLAINE,MN,55434,45.0320067,-93.2367474
"ROGERS, AR",2110 W WALNUT ST,ROGERS,AR,72756,36.3341,-94.14670124999999
NORTH LITTLE ROCK AR,9053 HIGHWAY 107,SHERWOOD,AR,72120,34.83650816326531,-92.2316
MORRILTON AR,1621 NORTH BUSINESS 9,MORRILTON,AR,72110,35.1366,-92.732
MOUNTAIN HOME AR,65 WAL MART DR,MOUNTAIN HOME,AR,72653,36.3424,-92.3854
CLAREMORE OK,1500 S LYNN RIGGS BLVD,CLAREMORE,OK,74017,36.29490722707138,-95.62966888537078
LEBANON MO,1800 S JEFFERSON AVE,LEBANON,MO,65536,37.653,-92.6495
WEST PLAINS MO,1310 PREACHER ROE BLVD,WEST PLAINS,MO,65775,36.71568126408418,-91.87373660110677
VAN BUREN AR,2214 FAYETTEVILLE RD,VAN BUREN,AR,72956,35.46994471146007,-94.3560428546238
NEOSHO MO,3200 LUSK DR,NEOSHO,MO,64850,36.8341,-94.3961
NEWPORT AR,1211 HIGHWAY 367 N,NEWPORT,AR,72112,35.61654815789474,-91.2519
POPLAR BLUFF MO,333 S WESTWOOD BLVD,POPLAR BLUFF,MO,63901,36.759,-90.4601
ST ROBERT MO /WAYNESVILLE,185 SAINT ROBERT BLVD,SAINT ROBERT,MO,65584,37.8282,-92.1312
PRYOR OK,4901 S MILL ST,PRYOR,OK,74361,36.2956,-95.3234
RUSTON LA,1201 N SERVICE RD E,RUSTON,LA,71270,32.5076,-92.1916
MEXICO MO,4820 S CLARK ST,MEXICO,MO,65265,39.1194,-91.8933
NEVADA MO,2250 LINCOLN AVE,NEVADA,MO,64772,37.8338,-94.3263
MANHATTAN KS,101 BLUEMONT AVE,MANHATTAN,KS,66502,39.1865,-96.55887647058825
JONESBORO AR,1815 E HIGHLAND DR,JONESBORO,AR,72401,35.821,-90.68512717391305
SALLISAW OK,1101 W RUTH AVE,SALLISAW,OK,74955,35.4489,-94.8122
VINITA OK,268 S 7TH ST,VINITA,OK,74301,36.636412731464326,-95.1437
FULTON MO,1701 N BLUFF ST,FULTON,MO,65251,38.8642,-91.9439
RUSSELLVILLE AR,2409 E MAIN ST,RUSSELLVILLE,AR,72802,35.2784,-93.10676025158425
JOPLIN MO,1501 S RANGE LINE RD,JOPLIN,MO,64804,37.0719,-94.4778
WARRENSBURG MO,301 E COOPER ST,WARRENSBURG,MO,64093,38.7793,-93.7372
BLYTHEVILLE AR,3700 E HIGHWAY 18,BLYTHEVILLE,AR,72315,35.9289,-89.8745
SULLIVAN MO,350 PARK RIDGE RD,SULLIVAN,MO,63080,38.22104530957128,-91.15775247358953
CLARKSVILLE AR,230 MARKET ST.,CLARKSVILLE,AR,72830,35.4503,-93.4644
FESTUS MO,650 S TRUMAN BLVD,FESTUS,MO,63028,38.212025684684406,-90.39232324696209
PITTSBURG KS,2710 N BROADWAY ST,PITTSBURG,KS,66762,37.43336086956521,-94.7047
PINEVILLE LA,3636 MONROE HWY,PINEVILLE,LA,71360,31.364,-92.4113
WEST JOPLIN MO,2623 W 7TH ST,JOPLIN,MO,64801,37.0847,-94.5378
COLUMBIA MO,3001 W BROADWAY,COLUMBIA,MO,65203,38.95512069343845,-92.38205906579299
STILWELL OK,RR 6 BOX 1895,STILWELL,OK,74960,35.8104,-94.6504
SPRINGFIELD MO,2825 N KANSAS EXPY,SPRINGFIELD,MO,65803,37.2487913,-93.3139653
FORREST CITY AR,205 DEADRICK RD,FORREST CITY,AR,72335,34.9944,-90.746
COVINGTON TN,201 LANNY BRIDGES AVE,COVINGTON,TN,38019,35.5623,-89.6289
DESLOGE MO,407 NO. STATE ST,DESLOGE,MO,63601,37.824,-90.5445
HARRISONVILLE MO,1700 N STATE ROUTE 291,HARRISONVILLE,MO,64701,38.8094,-94.3733
UNION MO,1445 E CENTRAL CT,UNION,MO,63084,38.43355229505854,-90.97218455910902
"BENTONVILLE, AR",406 S WALTON BLVD,BENTONVILLE,AR,72712,36.3466,-94.2563
SHAWNEE OK,196 SHAWNEE MALL DR,SHAWNEE,OK,74804,35.3843,-96.9202
CAMERON MO,2000 N WALNUT ST,CAMERON,MO,64429,39.7367,-94.2258
WINTER GARDEN FL,16313 NEW INDEPENDENCE PARKWAY,WINTER GARDEN,FL,34787,28.4771683,-81.6288601
AMORY MS,1515 HIGHWAY 278 E,AMORY,MS,38821,33.967956173761884,-88.45927506099049
BATESVILLE AR,3150 HARRISON ST,BATESVILLE,AR,72501,35.7646,-91.61394436039133
OKMULGEE OK,1800 S WOOD DR,OKMULGEE,OK,74447,35.6402,-96.0018
LITTLE ROCK AR,2700 S SHACKLEFORD RD,LITTLE ROCK,AR,72205,34.72874473473974,-92.3951
ARDMORE OK,1715 N COMMERCE ST,ARDMORE,OK,73401,34.19325,-97.143
MUSKOGEE OK,1000 W SHAWNEE ST,MUSKOGEE,OK,74401,35.7698,-95.37447878787879
MT PLEASANT TX,2311 S JEFFERSON AVE,MOUNT PLEASANT,TX,75455,33.1371,-94.9682
KINGFISHER OK,200 STARLITE DR,KINGFISHER,OK,73750,35.8275,-97.8429
ELK CITY OK,210 REGIONAL DR,ELK CITY,OK,73644,35.4196,-99.4378
STILLWATER OK,111 N PERKINS RD,STILLWATER,OK,74075,36.123427906976744,-97.0515
"SPRINGFIELD (NE), MO",1923 E KEARNEY ST,SPRINGFIELD,MO,65803,37.2415551,-93.2590359
PURCELL OK,2015 S GREEN AVE,PURCELL,OK,73080,34.98700061088505,-97.36818944813933
LUFKIN TX,2500 DANIEL MCCALL DR,LUFKIN,TX,75904,31.297796116135135,-94.72796077677296
FAYETTEVILLE AR (WEST),2875 W MRTN LUTHER K,FAYETTEVILLE,AR,72704,36.1056,-94.2965
PARIS TX,3855 LAMAR AVE,PARIS,TX,75462,33.535876,-95.723043
"JONESBORO, LA",184 OLD WINNFIELD RD,JONESBORO,LA,71251,32.22803137492251,-92.7084
WOODWARD OK,3215 WILLIAMS AVE,WOODWARD,OK,73801,36.41452329748246,-99.38162329748246
COLUMBIA MO,415 CONLEY RD,COLUMBIA,MO,65201,38.95522511568592,-92.29412830748736
HOUSTON MO,1433 S SAM HOUSTON BLVD,HOUSTON,MO,65483,37.3097,-91.9616
OWASSO OK,12101 E 96TH ST N,OWASSO,OK,74055,36.293,-95.84744612244899
LONOKE AR,322 BROWNSVILLE LOOP,LONOKE,AR,72086,34.81008658770243,-91.89498658770243
NATCHITOCHES LA,925 KEYSER AVE,NATCHITOCHES,LA,71457,31.7517,-93.0521
WASHINGTON MO,1701 A ROY DR,WASHINGTON,MO,63090,38.5389,-90.9918
POTOSI MO,#1 MEMORIAL DRIVE,POTOSI,MO,63664,37.9239,-90.7718
COLLIERVILLE TN,560 W POPLAR AVE,COLLIERVILLE,TN,38017,35.0483191,-89.6813675
NEW BOSTON TX,800 JAMES BOWIE DR,NEW BOSTON,TX,75570,33.4733,-94.409
GREENVILLE MS,1831 HIGHWAY 1 S,GREENVILLE,MS,38701,33.37138678771307,-91.03995165153587
EL DORADO KS,301 S VILLAGE RD,EL DORADO,KS,67042,37.8173,-96.8896
CAPE GIRARDEAU MO,3439 WILLIAM ST,CAPE GIRARDEAU,MO,63701,37.302893205215426,-89.58212525736968
KIRKSVILLE MO,2206 N BALTIMORE ST,KIRKSVILLE,MO,63501,40.21890784313725,-92.5827
COLUMBIA TN,2200 BROOKMEADE DR,COLUMBIA,TN,38401,35.5964,-87.0536
BAYTOWN TX,4900 GARTH RD,BAYTOWN,TX,77521,29.7763238,-94.9754279
EXCELSIOR SPRINGS MO,2203 PATSY LN,EXCELSIOR SPRINGS,MO,64024,39.3304,-94.2676
CARBONDALE IL,1450 E MAIN ST,CARBONDALE,IL,62901,37.736969580643496,-89.183460838713
MACOMB IL,1730 E JACKSON ST,MACOMB,IL,61455,40.45917034627624,-90.69958138510493
SALEM IL,1870 W MAIN ST,SALEM,IL,62881,38.6227,-88.98772574229962
LINCOLN IL,825 MALERICH DR,LINCOLN,IL,62656,40.1569,-89.3964
JACKSONVILLE IL,1941 W MORTON AVE,JACKSONVILLE,IL,62650,39.7231,-90.2641
