"Store Nbr","Mod Footage","Store Name","Store Type","Building Address","Building City","Building State/Prov","Building Postal Code"
"24","16","JACKSONVILLE AR","Supercenter","2000 JOHN HARDEN DR","JACKSONVILLE","AR","72076"
"29","16","JEFFERSON CITY MO","Supercenter","724 STADIUM WEST BLV","JEFFERSON CITY","MO","65109"
"101","16","ROLLA MO","Supercenter","500 S BISHOP AVE","ROLLA","MO","65401"
"105","16","CORINTH MS","Supercenter","2301 S HARPER RD","CORINTH","MS","38834"
"174","16","ROCKLEDGE FL","Supercenter","2700 CLEARLAKE RD","COCOA","FL","32922"
"269","16","LAWTON, OK","Supercenter","1002 NW SHERIDAN RD","LAWTON","OK","73505"
"319","16","RAYMORE,MO","Supercenter","2015 W FOXWOOD DR","RAYMORE","MO","64083"
"529","16","TEXAS CITY TX","Supercenter","6410 INTERSTATE 45","LA MARQUE","TX","77568"
"575","16","WOODSTOCK GA","Supercenter","12182 HIGHWAY 92","WOODSTOCK","GA","30188"
"603","16","PEKIN IL","Supercenter","3320 VETERANS DR","PEKIN","IL","61554"
"689","16","SOMERSET KY","Supercenter","177 WASHINGTON DR","SOMERSET","KY","42501"
"729","16","BARDSTOWN KY","Supercenter","3795 E JOHN ROWAN BLVD","BARDSTOWN","KY","40004"
"746","16","TEMPLE TX","Supercenter","3401 S 31ST ST","TEMPLE","TX","76502"
"838","16","SAND SPRINGS OK","Supercenter","220 S HIGHWAY 97","SAND SPRINGS","OK","74063"
"892","16","ANKENY IA","Supercenter","1002 SE NATIONAL DR","ANKENY","IA","50021"
"894","16","TULSA,OK","Supercenter","6625 S MEMORIAL DR","TULSA","OK","74133"
"958","16","PLATTEVILLE WI","Supercenter","1800 PROGRESSIVE PKWY","PLATTEVILLE","WI","53818"
"1001","16","PUEBLO, CO","Supercenter","4080 W NORTHERN AVE","PUEBLO","CO","81005"
"1089","16","KIMBALL /JASPER TN","Supercenter","525 KIMBALL CROSSING DR","KIMBALL","TN","37347"
"1121","16","MILLEDGEVILLE GA","Supercenter","2592 N COLUMBIA ST","MILLEDGEVILLE","GA","31061"
"1126","16","BOERNE TX","Supercenter","1381 S MAIN ST","BOERNE","TX","78006"
"1204","16","LAKE CHARLES (W) LA","Supercenter","3451 NELSON RD","LAKE CHARLES","LA","70605"
"1310","16","TERRE HAUTE (S) IN","Supercenter","5555 S US HWY #41","TERRE HAUTE","IN","47802"
"1423","16","ST JOHNS MI","Supercenter","1165 SUPERIOR DR","SAINT JOHNS","MI","48879"
"1441","16","MASON, OH","Supercenter","5303 BOWEN DRIVE","MASON","OH","45040"
"1444","16","JACKSONVILLE FL","Supercenter","9890 HUTCHINSON PARK DR","JACKSONVILLE","FL","32225"
"1476","16","CLARKSVILLE IN","Supercenter","1351 VETERANS PKWY","CLARKSVILLE","IN","47129"
"1503","16","CENTERVILLE/DAY(SE) OH","Supercenter","6244 WILMINGTON PIKE","DAYTON","OH","45459"
"1522","16","ELKINS WV","Supercenter","721 BEVERLY PIKE","ELKINS","WV","26241"
"1529","16","YORK PA","Supercenter","2801 E MARKET ST BLDG B","YORK","PA","17402"
"1532","16","GLENDALE(PHOENIX) AZ","Supercenter","5845 W BELL RD","GLENDALE","AZ","85308"
"1569","16","MAYSVILLE KY","Supercenter","240 WAL MART WAY","MAYSVILLE","KY","41056"
"1573","16","PRICE UT","Supercenter","255 S HIGHWAY 55","PRICE","UT","84501"
"1622","16","TIFFIN, OH","Supercenter","2801 W STATE ROUTE 18","TIFFIN","OH","44883"
"1633","16","ST CLOUD MN","Supercenter","21 COUNTY ROAD 120","SARTELL","MN","56377"
"1705","16","SENECA FALLS NY","Supercenter","1860 N ROAD","WATERLOO","NY","13165"
"1736","16","DOVER DE","Supercenter","36 JEROME DRIVE","DOVER","DE","19901"
"1750","16","MARION OH","Supercenter","1546 MARION-MT. GILEAD ROAD","MARION","OH","43302"
"1788","16","SCARBOROUGH, ME","Supercenter","500 GALLERY BLVD","SCARBOROUGH","ME","04074"
"1807","16","WEST BERLIN NJ","Supercenter","265 N ROUTE 73","WEST BERLIN","NJ","08091"
"1825","16","MANASSAS VA","Supercenter","8386 SUDLEY RD","MANASSAS","VA","20109"
"1904","16","LEESBURG, VA","Wal-Mart","950 EDWARDS FERRY RD NE","LEESBURG","VA","20176"
"1987","16","LAPEER, MI","Supercenter","555 E GENESEE ST","LAPEER","MI","48446"
"2010","16","NILES, MI","Supercenter","2107 S 11TH ST","NILES","MI","49120"
"2023","16","LEBANON, PA","Supercenter","1355 E LEHMAN ST","LEBANON","PA","17046"
"2064","16","MILFORD, PA","Supercenter","220 ROUTE 6 & 209","MILFORD","PA","18337"
"2075","16","BEND, OR","Supercenter","20120 PINEBROOK BLVD","BEND","OR","97702"
"2079","16","MARQUETTE, MI","Supercenter","3225 US HIGHWAY 41 W","MARQUETTE","MI","49855"
"2101","16","KENNEWICK, WA","Supercenter","2720 S QUILLAN ST","KENNEWICK","WA","99337"
"2111","16","BIRMINGHAM (SE), AL","Supercenter","5335 HIGHWAY 280","BIRMINGHAM","AL","35242"
"2120","16","NORWICH, NY","Supercenter","5396 STATE HIGHWAY 12","NORWICH","NY","13815"
"2123","16","TEXARKANA, TX","Supercenter","4000 NEW BOSTON RD","TEXARKANA","TX","75501"
"2125","16","LAKEWOOD, CO","Supercenter","7455 W COLFAX AVE","LAKEWOOD","CO","80214"
"2147","16","MISSOULA, MT","Supercenter","4000 HWY 93 SOUTH","MISSOULA","MT","59804"
"2242","16","ANAHEIM, CA","Supercenter","440 N EUCLID ST","ANAHEIM","CA","92801"
"2263","16","POTTSTOWN, PA","Supercenter","233 SHOEMAKER RD","POTTSTOWN","PA","19464"
"2361","16","NORTH CANTON, OH","Wal-Mart","4572 MEGA ST NW","NORTH CANTON","OH","44720"
"2371","16","WALLINGFORD, CT","Supercenter","844 N COLONY RD","WALLINGFORD","CT","06492"
"2434","16","IRON MOUNTAIN, MI","Supercenter","1920 SO. STEPEHENSON AVE","IRON MOUNTAIN","MI","49801"
"2472","16","WINSTON-SALEM, NC","Supercenter","4550 KESTER MILL RD","WINSTON SALEM","NC","27103"
"2549","16","SPOKANE, WA","Supercenter","9212 N COLTON ST","SPOKANE","WA","99218"
"2555","16","NEW CASTLE, DE","Wal-Mart","117 WILTON BLVD","NEW CASTLE","DE","19720"
"2586","16","CHEEKTOWAGA, NY","Supercenter","2500 WALDEN AVE","CHEEKTOWAGA","NY","14225"
"2588","16","NORTH VERSAILLES,PA","Supercenter","100 WALMART DR","NORTH VERSAILLES","PA","15137"
"2725","16","LEWIS CENTER, OH","Supercenter","8659 COLUMBUS PIKE","LEWIS CENTER","OH","43035"
"2764","16","ALTOONA, IA","Supercenter","3501 8TH ST SW","ALTOONA","IA","50009"
"2854","16","LISBON, CT","Supercenter","180 RIVER RD","LISBON","CT","06351"
"2874","16","GLENVILLE, NY","Supercenter","200 DUTCH MEADOWS LN","GLENVILLE","NY","12302"
"2965","16","NEWINGTON, CT","Wal-Mart","3164 BERLIN TPKE","NEWINGTON","CT","06111"
"3209","16","ELK RIVER, MN","Supercenter","18185 ZANE ST NW","ELK RIVER","MN","55330"
"3224","16","GARLAND (SE), TX","Supercenter","555 W INTERSTATE 30","GARLAND","TX","75043"
"3258","16","EUGENE (W) OR","Supercenter","4550 W 11TH AVE","EUGENE","OR","97402"
"3274","16","N RICHLAND HILLS TX","Supercenter","9101 N TARRANT PKWY","NORTH RICHLAND HILLS","TX","76182"
"3278","16","LINCOLN NE 11-11-02","Supercenter","8700 ANDERMATT DR","LINCOLN","NE","68526"
"3294","16","LOUISVILLE (SE), KY","Supercenter","7101 CEDAR SPRINGS BLVD","LOUISVILLE","KY","40291"
"3322","16","PEWAUKEE, WI","Wal-Mart","411 PEWAUKEE RD","PEWAUKEE","WI","53072"
"3342","16","AMELIA, OH","Supercenter","1815 E OHIO PIKE","AMELIA","OH","45102"
"3409","16","LEICESTER MA","Supercenter","20 SOOJIAN DR","LEICESTER","MA","01524"
"3422","16","DEPTFORD (E), NJ","Supercenter","2000 CLEMENTS BRIDGE RD STE 10","DEPTFORD","NJ","08096"
"3435","16","GREENWOOD, IN","Supercenter","1133 NO. EMERSON ROAD","GREENWOOD","IN","46143"
"3566","16","AURORA(DENVER SE),CO","Supercenter","9400 E HAMPDEN AVE","DENVER","CO","80231"
"3582","16","COLORADO SPRINGS CO","Supercenter","1575 SPACE CENTER DR","COLORADO SPRINGS","CO","80915"
